COREF,chapter,cat,COREF_head,count
1,0,GPE,Avonlea,9
1,3,GPE,Avonlea,2
1,7,GPE,Avonlea,2
1,13,GPE,Avonlea,5
1,15,GPE,Avonlea,3
1,18,GPE,Avonlea,7
1,19,GPE,Avonlea,2
1,20,GPE,Avonlea,4
1,22,GPE,Avonlea,2
1,28,GPE,Avonlea,3
1,29,GPE,Avonlea,3
1,29,PER,Avonlea,2
1,31,GPE,Avonlea,9
1,32,GPE,Avonlea,4
1,34,GPE,Avonlea,3
4,0,GPE,Carmody,2
4,14,GPE,Carmody,2
4,15,GPE,Carmody,2
4,16,GPE,Carmody,2
4,26,GPE,Carmody,2
4,34,GPE,Carmody,2
5,0,LOC,Bright River,4
6,0,GPE,Nova Scotia,3
6,3,GPE,Nova Scotia,2
10,0,LOC,the Island,2
10,1,LOC,the Island,2
10,29,LOC,the Island,2
19,1,GPE,Newbridge,2
19,17,GPE,Newbridge,2
20,25,FAC,Orchard Slope,2
21,3,LOC,Shining Waters,2
21,13,LOC,Shining Waters,3
27,3,LOC,White Sands,3
30,3,GPE,Bolingbroke,2
31,4,GPE,Marysville,2
47,13,FAC,Lover ’s Lane,3
73,25,GPE,Camelot,2
76,29,GPE,Beechwood,2
78,32,FAC,Queen ’s,3
78,32,GPE,Queen ’s,2
90,31,FAC,Redmond College,2
93,32,FAC,Lovers ’ Lane,2
96,32,GPE,Redmond,2
96,34,GPE,Redmond,3
103,0,PER,Mrs. Lynde,102
103,1,PER,Mrs. Lynde,2
103,7,PER,Mrs. Lynde,63
103,8,PER,Mrs. Lynde,58
103,9,PER,Mrs. Lynde,4
103,10,PER,Mrs. Lynde,7
103,11,PER,Mrs. Lynde,2
103,12,PER,Mrs. Lynde,2
103,14,PER,Mrs. Lynde,32
103,15,PER,Mrs. Lynde,14
103,16,PER,Mrs. Lynde,2
103,17,PER,Mrs. Lynde,18
103,18,PER,Mrs. Lynde,18
103,19,PER,Mrs. Lynde,7
103,20,PER,Mrs. Lynde,13
103,21,PER,Mrs. Lynde,2
103,22,PER,Mrs. Lynde,17
103,23,PER,Mrs. Lynde,5
103,24,PER,Mrs. Lynde,11
103,25,PER,Mrs. Lynde,3
103,26,PER,Mrs. Lynde,10
103,28,PER,Mrs. Lynde,59
103,29,PER,Mrs. Lynde,6
103,32,PER,Mrs. Lynde,19
103,33,PER,Mrs. Lynde,3
103,34,PER,Mrs. Lynde,35
104,0,PER,Thomas Lynde,2
105,0,PER,Matthew,76
105,1,PER,Matthew,184
105,2,PER,Matthew,51
105,3,PER,Matthew,35
105,4,PER,Matthew,4
105,5,PER,Matthew,31
105,6,PER,Matthew,3
105,7,PER,Matthew,7
105,8,PER,Matthew,42
105,10,PER,Matthew,9
105,11,PER,Matthew,8
105,12,PER,Matthew,23
105,13,PER,Matthew,14
105,14,PER,Matthew,17
105,15,PER,Matthew,52
105,16,PER,Matthew,20
105,17,PER,Matthew,25
105,18,PER,Matthew,7
105,19,PER,Matthew,15
105,20,PER,Matthew,8
105,21,PER,Matthew,41
105,22,PER,Matthew,98
105,23,PER,Matthew,9
105,24,PER,Matthew,30
105,26,PER,Matthew,8
105,27,PER,Matthew,6
105,28,PER,Matthew,12
105,29,PER,Matthew,20
105,30,PER,Matthew,15
105,31,PER,Matthew,20
105,32,PER,Matthew,55
105,33,PER,Matthew,50
106,0,PER,Peter,2
107,22,PER,William Blair,5
108,0,PER,Marilla,2
108,6,PER,Marilla,27
108,7,PER,Marilla,16
108,18,PER,Marilla,4
110,22,PER,the Cuthberts,2
111,0,PER,Trees,2
112,0,PER,Marilla,64
112,1,PER,Marilla,36
112,2,PER,Marilla,65
112,3,PER,Marilla,73
112,4,PER,Marilla,75
112,5,PER,Marilla,121
112,6,PER,Marilla,37
112,7,PER,Marilla,99
112,8,PER,Marilla,95
112,9,PER,Marilla,77
112,10,PER,Marilla,52
112,11,PER,Marilla,56
112,12,PER,Marilla,115
112,13,PER,Marilla,82
112,14,PER,Marilla,116
112,15,PER,Marilla,74
112,16,PER,Marilla,52
112,17,PER,Marilla,81
112,18,PER,Marilla,78
112,19,PER,Marilla,59
112,20,PER,Marilla,122
112,21,PER,Marilla,36
112,22,PER,Marilla,41
112,23,PER,Marilla,12
112,24,PER,Marilla,112
112,25,PER,Marilla,38
112,26,PER,Marilla,40
112,27,PER,Marilla,104
112,28,PER,Marilla,88
112,29,PER,Marilla,26
112,30,PER,Marilla,15
112,31,PER,Marilla,63
112,32,PER,Marilla,41
112,33,PER,Marilla,113
