symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,curb-weight,engine-type,cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,count
?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,4,130.0,mpfi,3.47,2.68,9.0,111,5000,20-30,20-30,10-20k,1.0
?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,4,130.0,mpfi,3.47,2.68,9.0,111,5000,20-30,20-30,10-20k,1.0
?,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,6,152.0,mpfi,2.68,3.47,9.0,154,5000,10-20,20-30,10-20k,1.0
164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,4,109.0,mpfi,3.19,3.40,10.0,102,5500,20-30,20-30,10-20k,1.0
164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,5,136.0,mpfi,3.19,3.40,8.0,115,5500,10-20,20-30,10-20k,1.0
?,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,5,136.0,mpfi,3.19,3.40,8.5,110,5500,10-20,20-30,10-20k,1.0
158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,5,136.0,mpfi,3.19,3.40,8.5,110,5500,10-20,20-30,10-20k,1.0
?,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,5,136.0,mpfi,3.19,3.40,8.5,110,5500,10-20,20-30,10-20k,1.0
158,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086.0,ohc,5,131.0,mpfi,3.13,3.40,8.3,140,5500,10-20,10-20,20-30k,1.0
192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,4,108.0,mpfi,3.50,2.80,8.8,101,5800,20-30,20-30,10-20k,1.0
