COREF,start_token,end_token,prop,cat,text,COREF_head,chapter
88,4,6,PROP,PER,Sir Walter Elliot,Sir Walter,0
1,9,10,PROP,FAC,Kellynch Hall,Kellynch Hall,0
2,13,13,PROP,GPE,Somersetshire,Somersetshire,0
220,16,32,NOM,PER,"a man who , for his own amusement , never took up any book but the Baronetage",-1,0
88,21,21,PRON,PER,his,Sir Walter,0
88,35,35,PRON,PER,he,Sir Walter,0
88,51,51,PRON,PER,his,Sir Walter,0
88,86,86,PRON,PER,he,Sir Walter,0
88,108,108,PRON,PER,he,Sir Walter,0
88,111,111,PRON,PER,his,Sir Walter,0
89,134,134,PROP,PER,ELLIOT,Mr Elliot,0
1,136,137,PROP,FAC,KELLYNCH HALL,Kellynch Hall,0
88,140,141,PROP,PER,Walter Elliot,Sir Walter,0
90,156,156,PROP,PER,Elizabeth,Elizabeth,0
91,160,161,PROP,PER,James Stevenson,James Stevenson,0
2189,166,167,NOM,FAC,South Park,-1,0
2190,170,173,NOM,GPE,the county of Gloucester,-1,0
2191,177,181,NOM,PER,lady ( who died 1800,-1,0
88,183,183,PRON,PER,he,Sir Walter,0
90,186,186,PROP,PER,Elizabeth,Elizabeth,0
92,194,194,PROP,PER,Anne,Anne,0
2192,202,211,NOM,PER,"a still - born son , November 5 , 1789",-1,0
93,213,213,PROP,PER,Mary,Mary,0
221,230,231,NOM,PER,the printer,-1,0
88,236,237,PROP,PER,Sir Walter,Sir Walter,0
88,248,248,PRON,PER,himself,Sir Walter,0
88,250,250,PRON,PER,his,Sir Walter,0
222,250,251,NOM,PER,his family,-1,0
93,260,260,PROP,PER,Mary,Mary,0
94,271,271,PROP,PER,Charles,Charles,0
95,277,278,PROP,PER,Charles Musgrove,Charles,0
3,283,283,PROP,GPE,Uppercross,Uppercross,0
2193,286,289,NOM,GPE,the county of Somerset,-1,0
88,304,304,PRON,PER,he,Sir Walter,0
88,307,307,PRON,PER,his,Sir Walter,0
223,307,308,NOM,PER,his wife,-1,0
224,317,321,NOM,PER,the ancient and respectable family,-1,0
4,335,335,PROP,GPE,Cheshire,Cheshire,0
96,340,340,PROP,PER,Dugdale,Dugdale,0
225,350,351,NOM,GPE,a borough,-1,0
226,364,364,NOM,PER,baronet,-1,0
97,371,372,PROP,PER,Charles II,Charles II,0
227,376,379,NOM,PER,the Marys and Elizabeths,-1,0
228,380,380,PRON,PER,they,-1,0
229,386,389,NOM,PER,two handsome duodecimo pages,-1,0
1,400,401,PROP,FAC,Kellynch Hall,Kellynch Hall,0
2193,404,407,NOM,GPE,the county of Somerset,-1,0
88,411,412,PROP,PER,Sir Walter,Sir Walter,0
2195,420,421,NOM,PER,Heir presumptive,-1,0
98,423,425,PROP,PER,William Walter Elliot,William Walter Elliot,0
2196,430,436,NOM,PER,great grandson of the second Sir Walter,-1,0
2197,433,436,NOM,PER,the second Sir Walter,-1,0
88,447,449,PROP,PER,Sir Walter Elliot,Sir Walter,0
88,460,460,PRON,PER,He,Sir Walter,0
88,466,466,PRON,PER,his,Sir Walter,0
230,478,481,NOM,PER,a very fine man,-1,0
231,483,484,NOM,PER,Few women,-1,0
231,489,489,PRON,PER,their,-1,0
88,493,493,PRON,PER,he,Sir Walter,0
232,498,504,NOM,PER,the valet of any new made lord,-1,0
233,501,504,NOM,PER,any new made lord,-1,0
88,511,511,PRON,PER,he,Sir Walter,0
234,514,514,NOM,PER,society,-1,0
88,516,516,PRON,PER,He,Sir Walter,0
88,533,536,PROP,PER,the Sir Walter Elliot,Sir Walter,0
88,548,548,PRON,PER,his,Sir Walter,0
88,554,554,PRON,PER,His,Sir Walter,0
88,558,558,PRON,PER,his,Sir Walter,0
88,565,565,PRON,PER,his,Sir Walter,0
235,570,570,PRON,PER,them,-1,0
88,571,571,PRON,PER,he,Sir Walter,0
236,575,580,NOM,PER,a wife of very superior character,-1,0
88,586,586,PRON,PER,his,Sir Walter,0
99,589,590,PROP,PER,Lady Elliot,Lady Elliot,0
237,593,595,NOM,PER,an excellent woman,-1,0
235,607,607,PRON,PER,they,-1,0
99,616,616,PRON,PER,her,Lady Elliot,0
99,617,618,PROP,PER,Lady Elliot,Lady Elliot,0
88,633,633,PRON,PER,his,Sir Walter,0
88,638,638,PRON,PER,his,Sir Walter,0
238,653,654,NOM,LOC,the world,-1,0
99,655,655,PRON,PER,herself,Lady Elliot,0
99,661,661,PRON,PER,her,Lady Elliot,0
99,664,664,PRON,PER,her,Lady Elliot,0
239,664,665,NOM,PER,her friends,-1,0
99,668,668,PRON,PER,her,Lady Elliot,0
240,668,669,NOM,PER,her children,-1,0
99,673,673,PRON,PER,her,Lady Elliot,0
99,685,685,PRON,PER,her,Lady Elliot,0
99,687,687,PRON,PER,she,Lady Elliot,0
241,693,694,NOM,PER,them.--Three girls,-1,0
242,696,701,NOM,PER,the two eldest sixteen and fourteen,-1,0
243,708,709,NOM,PER,a mother,-1,0
244,726,730,NOM,PER,"a conceited , silly father",-1,0
99,732,732,PRON,PER,She,Lady Elliot,0
245,737,740,NOM,PER,one very intimate friend,-1,0
246,742,769,NOM,PER,"a sensible , deserving woman , who had been brought , by strong attachment to herself , to settle close by her , in the village of Kellynch",-1,0
99,757,757,PRON,PER,herself,Lady Elliot,0
99,763,763,PRON,PER,her,Lady Elliot,0
247,766,768,NOM,GPE,the village of,-1,0
5,769,769,PROP,GPE,Kellynch,Kellynch,0
99,773,773,PRON,PER,her,Lady Elliot,0
99,778,779,PROP,PER,Lady Elliot,Lady Elliot,0
