COREF,chapter,cat,COREF_head,count
0,21,PER,-1,1
1,0,FAC,Kellynch Hall,5
1,1,FAC,Kellynch Hall,9
1,2,FAC,Kellynch Hall,3
1,3,FAC,Kellynch Hall,2
1,4,FAC,Kellynch Hall,1
1,7,FAC,Kellynch Hall,1
1,11,FAC,Kellynch Hall,2
1,12,FAC,Kellynch Hall,1
1,16,FAC,Kellynch Hall,1
2,0,GPE,Somersetshire,1
2,2,GPE,Somersetshire,2
2,17,GPE,Somersetshire,1
3,0,GPE,Uppercross,1
3,4,GPE,Uppercross,5
3,5,GPE,Uppercross,3
3,6,GPE,Uppercross,2
3,7,GPE,Uppercross,4
3,8,GPE,Uppercross,1
3,9,GPE,Uppercross,7
3,10,GPE,Uppercross,6
3,11,FAC,Uppercross,2
3,11,GPE,Uppercross,13
3,12,GPE,Uppercross,5
3,15,GPE,Uppercross,3
3,16,GPE,Uppercross,3
3,18,GPE,Uppercross,1
3,20,GPE,Uppercross,3
3,21,GPE,Uppercross,1
4,0,GPE,Cheshire,1
5,0,GPE,Kellynch,1
5,1,GPE,Kellynch,1
5,1,PER,Kellynch,1
5,2,GPE,Kellynch,1
5,2,PER,Kellynch,2
5,3,GPE,Kellynch,3
5,4,GPE,Kellynch,2
5,4,PER,Kellynch,1
5,5,GPE,Kellynch,4
5,5,PER,Kellynch,1
5,7,GPE,Kellynch,1
5,9,GPE,Kellynch,2
5,10,GPE,Kellynch,1
5,11,GPE,Kellynch,3
5,12,GPE,Kellynch,2
5,12,PER,Kellynch,2
5,14,GPE,Kellynch,2
5,15,FAC,Kellynch,1
5,15,GPE,Kellynch,1
5,15,PER,Kellynch,3
5,16,GPE,Kellynch,1
5,17,PER,Kellynch,1
5,19,GPE,Kellynch,2
5,20,GPE,Kellynch,1
5,21,GPE,Kellynch,1
6,0,GPE,London,2
6,1,GPE,London,6
6,10,GPE,London,1
6,12,GPE,London,1
6,14,GPE,London,1
6,19,GPE,London,1
6,22,GPE,London,1
7,0,FAC,Tattersall 's,1
8,1,GPE,Journeys,1
9,1,FAC,Bath,1
9,1,GPE,Bath,7
9,3,FAC,Bath,1
9,3,GPE,Bath,7
9,4,GPE,Bath,3
9,10,GPE,Bath,2
9,11,GPE,Bath,1
9,11,PER,Bath,1
9,12,FAC,Bath,1
9,12,GPE,Bath,8
9,13,GPE,Bath,4
9,13,PER,Bath,1
9,14,GPE,Bath,6
9,15,GPE,Bath,7
9,15,PER,Bath,1
9,16,GPE,Bath,8
9,16,PER,Bath,1
9,17,GPE,Bath,6
9,18,GPE,Bath,2
9,19,GPE,Bath,7
9,20,GPE,Bath,10
9,21,GPE,Bath,3
9,22,GPE,Bath,1
10,1,FAC,Kellynch Lodge,1
10,3,FAC,Kellynch Lodge,1
11,2,GPE,Taunton,4
11,3,GPE,Taunton,1
11,7,GPE,Taunton,1
12,2,LOC,the East Indies,1
12,7,LOC,the East Indies,1
13,2,GPE,Monkford,7
13,17,GPE,Monkford,1
14,2,GPE,St Domingo,1
16,3,GPE,England,1
16,5,GPE,England,1
16,7,GPE,England,1
16,9,GPE,England,1
16,15,GPE,England,1
16,21,GPE,England,1
17,3,LOC,the Thames,1
19,3,FAC,Uppercross Cottage,2
19,4,FAC,Uppercross Cottage,3
19,15,FAC,Uppercross Cottage,1
20,4,FAC,the Pooles,1
21,4,GPE,Exeter,1
22,5,LOC,the Laconia,2
22,6,FAC,the Laconia,1
22,6,LOC,the Laconia,2
22,9,LOC,the Laconia,1
22,10,PER,the Laconia,1
22,21,LOC,the Laconia,1
23,5,GPE,Clifton,1
24,6,PER,the Asp,1
24,6,VEH,the Asp,2
25,6,LOC,the West Indies,1
25,7,LOC,the West Indies,2
26,6,ORG,The Admiralty,1
26,6,PER,The Admiralty,3
27,6,GPE,Plymouth,1
27,7,GPE,Plymouth,2
27,10,GPE,Plymouth,2
27,10,PER,Plymouth,1
27,12,GPE,Plymouth,1
27,16,GPE,Plymouth,1
28,6,LOC,the Sound,1
29,6,GPE,Gibraltar,2
29,7,GPE,Gibraltar,1
31,6,LOC,the Western Islands,1
32,6,LOC,the Mediterranean,1
33,7,GPE,Lisbon,2
34,7,GPE,Portsmouth,1
34,10,GPE,Portsmouth,2
35,7,LOC,the Atlantic,1
36,7,GPE,Cork,1
37,7,LOC,the Streights,1
38,7,GPE,Bermuda,1
39,7,GPE,Bahama,1
40,7,GPE,Deal,1
40,16,GPE,Deal,1
41,7,LOC,the North Seas,1
42,7,GPE,Shropshire,1
42,12,GPE,Shropshire,1
42,21,GPE,Shropshire,1
43,7,GPE,Winthrop,1
43,7,PER,Winthrop,1
43,8,FAC,Winthrop,1
43,8,GPE,Winthrop,6
43,8,PER,Winthrop,1
43,20,PER,Winthrop,1
43,21,GPE,Winthrop,1
45,9,GPE,North Yarmouth,1
45,16,GPE,North Yarmouth,2
46,9,FAC,Lyme,3
46,9,GPE,Lyme,14
46,9,LOC,Lyme,1
46,10,GPE,Lyme,6
46,11,GPE,Lyme,16
46,12,GPE,Lyme,1
46,13,GPE,Lyme,6
46,15,GPE,Lyme,3
46,16,GPE,Lyme,3
46,17,GPE,Lyme,9
46,19,GPE,Lyme,3
46,20,PER,Lyme,1
46,21,GPE,Lyme,4
47,9,FAC,the Cobb,3
47,10,FAC,the Cobb,2
47,10,LOC,the Cobb,1
47,11,FAC,the Cobb,2
47,11,LOC,the Cobb,1
47,11,PER,the Cobb,1
47,16,FAC,the Cobb,1
47,21,FAC,the Cobb,1
48,9,GPE,Charmouth,1
48,11,GPE,Charmouth,1
49,9,FAC,Pinny,1
49,9,GPE,Pinny,1
50,9,GPE,Wight,1
51,9,GPE,Abydos,1
52,10,GPE,Sidmouth,1
53,10,LOC,the Cape,1
55,10,FAC,the Lower Cobb,1
58,11,FAC,Camden Place,2
58,12,FAC,Camden Place,7
58,13,FAC,Camden Place,2
58,13,GPE,Camden Place,1
58,14,FAC,Camden Place,1
58,14,GPE,Camden Place,1
58,16,FAC,Camden Place,1
58,17,FAC,Camden Place,2
58,18,FAC,Camden Place,1
58,19,FAC,Camden Place,2
58,20,FAC,Camden Place,4
58,20,GPE,Camden Place,1
58,21,FAC,Camden Place,1
58,21,GPE,Camden Place,1
59,11,FAC,the Lodge,1
61,12,FAC,Rivers Street,1
61,20,FAC,Rivers Street,3
62,12,FAC,Marlborough Buildings,1
62,13,FAC,Marlborough Buildings,1
62,14,FAC,Marlborough Buildings,1
62,18,FAC,Marlborough Buildings,1
62,19,PER,Marlborough Buildings,1
63,13,FAC,Bond Street,1
64,13,FAC,Lansdown Crescent,1
65,13,GPE,Gowland,2
67,14,GPE,Ireland,1
67,15,GPE,Ireland,1
68,14,FAC,Laura Place,4
68,14,GPE,Laura Place,1
68,16,FAC,Laura Place,1
69,14,GPE,Laura,1
71,14,FAC,Westgate Buildings,4
71,15,FAC,Westgate Buildings,2
71,18,FAC,Westgate Buildings,1
73,16,FAC,Gay Street,1
73,21,FAC,Gay Street,1
75,16,FAC,Milsom Street,3
75,16,GPE,Milsom Street,1
75,21,FAC,Milsom Street,1
76,16,GPE,Belmont,1
76,16,PER,Belmont,1
76,21,GPE,Belmont,1
77,16,GPE,Minehead,1
78,16,FAC,Union Street,1
78,21,FAC,Union Street,2
79,17,FAC,The Wallises,1
79,21,PER,The Wallises,2
80,17,FAC,Pulteney Street,1
81,19,GPE,Tunbridge Wells,1
82,20,FAC,Thornberry Park,1
83,20,FAC,the White Hart,3
84,20,GPE,Dorsetshire,1
86,20,FAC,Bath Street,2
87,22,FAC,no Uppercross Hall,1
88,0,PER,Sir Walter,69
88,1,PER,Sir Walter,47
88,2,PER,Sir Walter,53
88,3,PER,Sir Walter,11
88,4,PER,Sir Walter,4
88,8,PER,Sir Walter,21
88,10,PER,Sir Walter,1
88,11,PER,Sir Walter,1
88,12,PER,Sir Walter,9
88,13,PER,Sir Walter,6
88,14,PER,Sir Walter,9
88,15,PER,Sir Walter,6
88,16,PER,Sir Walter,10
88,17,PER,Sir Walter,8
88,19,PER,Sir Walter,7
88,20,PER,Sir Walter,14
88,21,PER,Sir Walter,11
88,22,PER,Sir Walter,6
89,0,PER,Mr Elliot,39
89,10,PER,Mr Elliot,26
89,11,PER,Mr Elliot,1
89,12,PER,Mr Elliot,68
89,13,PER,Mr Elliot,125
89,14,PER,Mr Elliot,10
89,15,PER,Mr Elliot,45
89,16,PER,Mr Elliot,9
89,17,PER,Mr Elliot,69
89,18,PER,Mr Elliot,66
89,19,PER,Mr Elliot,193
89,20,PER,Mr Elliot,119
89,21,PER,Mr Elliot,7
89,22,PER,Mr Elliot,15
90,0,PER,Elizabeth,63
90,1,PER,Elizabeth,19
90,2,PER,Elizabeth,4
90,3,PER,Elizabeth,4
90,4,PER,Elizabeth,29
90,10,PER,Elizabeth,2
90,12,PER,Elizabeth,17
90,13,PER,Elizabeth,17
90,14,PER,Elizabeth,3
90,15,PER,Elizabeth,7
90,16,PER,Elizabeth,6
90,17,PER,Elizabeth,12
90,20,PER,Elizabeth,60
90,21,PER,Elizabeth,1
90,22,PER,Elizabeth,1
91,0,PER,James Stevenson,1
91,10,PER,James Stevenson,1
92,0,PER,Anne,20
92,1,PER,Anne,41
92,2,PER,Anne,55
92,3,PER,Anne,97
92,4,PER,Anne,161
92,5,PER,Anne,81
92,6,PER,Anne,98
92,7,PER,Anne,75
92,8,PER,Anne,49
92,9,PER,Anne,106
92,10,PER,Anne,80
92,11,PER,Anne,177
92,12,PER,Anne,65
92,13,PER,Anne,92
92,14,PER,Anne,124
92,15,PER,Anne,89
92,16,PER,Anne,132
92,17,PER,Anne,261
92,18,PER,Anne,185
92,19,PER,Anne,113
92,20,PER,Anne,285
92,21,PER,Anne,206
92,22,PER,Anne,19
93,0,PER,Mary,6
93,1,PER,Mary,1
93,3,PER,Mary,7
93,4,PER,Mary,57
93,5,PER,Mary,33
93,6,PER,Mary,69
93,7,PER,Mary,30
93,8,PER,Mary,41
93,9,PER,Mary,20
93,10,PER,Mary,27
93,11,PER,Mary,51
93,12,PER,Mary,19
93,13,PER,Mary,7
93,15,PER,Mary,2
93,18,PER,Mary,5
93,19,PER,Mary,1
93,20,PER,Mary,63
93,21,PER,Mary,7
93,22,PER,Mary,4
94,0,PER,Charles,1
94,7,PER,Charles,45
94,8,PER,Charles,36
94,9,PER,Charles,27
94,11,PER,Charles,28
94,12,PER,Charles,15
94,15,PER,Charles,7
94,16,PER,Charles,1
94,20,PER,Charles,22
94,22,PER,Charles,1
95,0,PER,Charles,2
95,3,PER,Charles,1
95,4,PER,Charles,53
95,5,PER,Charles,65
95,6,PER,Charles,56
95,7,PER,Charles,19
95,8,PER,Charles,4
95,9,PER,Charles,4
95,10,PER,Charles,10
95,11,PER,Charles,46
95,12,PER,Charles,6
95,15,PER,Charles,7
95,16,PER,Charles,6
95,20,PER,Charles,84
95,21,PER,Charles,85
96,0,PER,Dugdale,1
97,0,PER,Charles II,1
98,0,PER,William Walter Elliot,1
99,0,PER,Lady Elliot,20
99,14,PER,Lady Elliot,2
99,15,PER,Lady Elliot,2
99,19,PER,Lady Elliot,2
100,0,PER,Lady Russell,21
100,1,PER,Lady Russell,40
100,2,PER,Lady Russell,7
100,3,PER,Lady Russell,22
100,4,PER,Lady Russell,14
100,9,PER,Lady Russell,6
100,10,PER,Lady Russell,7
100,11,PER,Lady Russell,21
100,12,PER,Lady Russell,59
100,13,PER,Lady Russell,8
